class	bodyid	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	serial	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	confidence_fanc_match_1_5
AN	19883	19883	R	AN01B018	AN01B018			T1	fl	01B		gaba	0.5392979702	73397075085518991	648518346492928242	5
AN	10137	10098	R	AN02A001	AN02A001			T2	xn	02A		glutamate	0.9564406995	73678549793575088	648518346500194559	5
AN	10098	10098	L	AN02A001	AN02A001			T2	xn	02A		glutamate	0.9449859822	73115599907309663	648518346511312514	5
AN	10512	10180	R	AN02A002	AN02A002		biological variability	T2	xn	02A		glutamate	0.9496898468	73467443426981315	648518346490257435	2
AN	10180	10180	L	AN02A002	AN02A002			T2	xn	02A		glutamate	0.9523654879	73397074749852578	648518346470605822	4
AN	19397	11096	L	AN02A005	AN02A005			T2	xn	02A		glutamate	0.8527696013	73256337328579464	648518346507267144	5
AN	11096	11096	R	AN02A005	AN02A005			T2	xn	02A		glutamate	0.8006321475	73537812372455010	648518346504323052	5
AN	12608	12608	L	AN02A009	AN02A009			T2	xn	02A		glutamate	0.909155036	73256337328783645	648518346500320984	5
AN	13058	12608	R	AN02A009	AN02A009			T2	xn	02A		glutamate	0.910456276	73537812305453783	648518346497402648	5
AN	13761	13761	R	AN02A016	AN02A016			T1	xn	02A		glutamate	0.9593528493	73467443427017880	648518346489938995	5
AN	14678	13761	L	AN02A016	AN02A016			T1	xn	02A		glutamate	0.9571384888	73326705938385432	648518346509721731	5
AN	13062	13062	R	AN02A017	AN02A017			T1	nt	02A		unknown	0.3583379931	73537812171105201	648518346481110016	5
AN	16102	13062	L	AN02A017	AN02A017			T1	nt	02A		acetylcholine	0.4054616615	73115599840043784	648518346517677860	5
AN	100663	15341	R	AN02A022	AN02A022			T3	xn	02A		glutamate	0.8507244515	73537812238364112	648518346524267781	5
AN	15341	15341	L	AN02A022	AN02A022			T3	xn	02A		glutamate	0.8682071093	73256337328682954	648518346493989664	5
AN	17296	17296	L	AN02A025	AN02A025			T1	xn	02A				73256337194161118	648518346500217094	5
AN	18032	17296	R	AN02A025	AN02A025			T1	xn	02A		unknown	0.5155561883	73467443427037784	648518346504084064	5
AN	25466	23161	L	AN02A046	AN02A046			T1	xn	02A				73256337194184518	648518346486114402	5
AN	23161	23161	R	AN02A046	AN02A046			T1	xn	02A		glutamate	0.8382655702	73467443427027395	648518346488647049	5
AN	10604	10604	L	AN03A002	AN03A002			T1	xn	03A		acetylcholine	0.6433865094	73185968517273853	648518346472473138	5
AN	11069	10604	R	AN03A002	AN03A002			T1	xn	03A		acetylcholine	0.6007870577	73537812171239765	648518346501326733	5
AN	12181	12181	L	AN03A008	AN03A008		male specific	T1	fl	03A		acetylcholine	0.8205683175			0
AN	31400	12181	R	AN03A008	AN03A008		male specific	T1	fl	03A		acetylcholine	0.8231854868			0
AN	10429	10429	L	AN03B009	AN03B009			T2	xn	03B		gaba	0.8080100838	73678549793814858	648518346497360769	5
AN	10502	10429	R	AN03B009	AN03B009			T2	xn	03B		gaba	0.8413089855	73115599907459447	648518346499503451	5
AN	10550	10550	L	AN03B011	AN03B011			T3	hl	03B	10271	gaba	0.8871373248	73256337395727283	648518346502003562	5
AN	10610	10550	R	AN03B011	AN03B011			T3	hl	03B	10271	gaba	0.8963498879	73537812372628370	648518346491166755	5
AN	10470	10452	L	AN03B011	AN03B011			T2	ml	03B	10271	gaba	0.8956983783	73256337395697775	648518346500624053	5
AN	10452	10452	R	AN03B011	AN03B011			T2	ml	03B	10271	gaba	0.8862405405	73537812372568512	648518346531517466	5
AN	15697	15697	R	AN03B039	AN03B039			T2	xn	03B		glutamate	0.5259441222	73537812305567845	648518346489774554	5
AN	16025	15697	L	AN03B039	AN03B039			T2	xn	03B		gaba	0.5196756992	73326706072949347	648518346501320024	5
AN	19937	16538	R	AN03B050	AN03B050			T3	xn	03B		gaba	0.8473829712	73537812439469056	648518346475321268	5
AN	16538	16538	L	AN03B050	AN03B050		difference in number	T3	xn	03B		gaba	0.8111123108			0
AN	15044	15044	L	AN03B094	AN03B094			T1	fl	03B		gaba	0.9012149778	73326706072997673	648518346500082694	5
AN	16649	15044	R	AN03B094	AN03B094			T1	fl	03B		gaba	0.9111614235	73537812305603999	648518346483899567	5
AN	17857	17857	L	AN03B095	AN03B095			T1	nt	03B		gaba	0.9098565489	73185968651602613	648518346477159952	5
AN	18874	17857	R	AN03B095	AN03B095			T1	nt	03B		gaba	0.8970352692	73608181183786678	648518346479900310	5
AN	11260	10925	R	AN04A001	AN04A001			T3	hl	04A	10516	acetylcholine	0.7673814779	73467443695400327	648518346491596712	5
AN	10823	10823	R	AN04A001	AN04A001			T2	xn	04A	10516	acetylcholine	0.6802735719	73467443695381053	648518346488914161	5
AN	12834	10516	R	AN04A001	AN04A001			T1	xn	04A	10516	acetylcholine	0.8390628698	73467443695400331	648518346496892717	5
AN	20216	10823	L	AN04A001	AN04A001			T2	xn	04A	10516	acetylcholine	0.5278987735	73326706206888165	648518346515771898	5
AN	10516	10516	L	AN04A001	AN04A001			T1	xn	04A	10516	acetylcholine	0.8385483505	73326706206997080	648518346481281125	5
AN	10925	10925	L	AN04A001	AN04A001			T3	hl	04A	10516	acetylcholine	0.7981579213	73326706206965285	648518346501142940	5
AN	10413	10314	R	AN04B001	AN04B001			T1	fl	04B	10179	acetylcholine	0.9036342966	73537812506699571	648518346486980505	5
AN	10211	10179	L	AN04B001	AN04B001			T2	ml	04B	10179	acetylcholine	0.9114324612	73185968785740231	648518346494103950	5
AN	10179	10179	R	AN04B001	AN04B001			T2	ml	04B	10179	acetylcholine	0.8861600772	73537812506711634	648518346486614449	5
AN	10314	10314	L	AN04B001	AN04B001			T1	fl	04B	10179	acetylcholine	0.8918936319	73185968785676757	648518346491207971	5
AN	13043	11997	L	AN04B003	AN04B003			T3	hl	04B	10394	acetylcholine	0.9320543453	73326706139939100	648518346499707879	5
AN	11997	11997	R	AN04B003	AN04B003			T3	hl	04B	10394	acetylcholine	0.9048050438	73467443628369608	648518346476764616	5
AN	11208	10394	L	AN04B003	AN04B003			T2	ml	04B	10394	acetylcholine	0.9332075952	73326706139917857	648518346500612533	5
AN	10394	10394	R	AN04B003	AN04B003			T2	ml	04B	10394	acetylcholine	0.9593728803	73467443628295847	648518346509982522	5
AN	13436	13414	L	AN04B003	AN04B003			T1	fl	04B	10394	acetylcholine	0.8764779085	73326706139690133	648518346486319529	5
AN	13414	13414	R	AN04B003	AN04B003			T1	fl	04B	10394	acetylcholine	0.9455424695	73467443628462633	648518346486347106	5
AN	11885	11885	R	AN04B004	AN04B004			T1	fl	04B	11350	acetylcholine	0.9428683044	73537812573597050	648518346491275194	5
AN	17395	11885	L	AN04B004	AN04B004			T1	fl	04B	11350	acetylcholine	0.9442729987	73185968785752895	648518346492966062	5
AN	17924	17924	L	AN04B023	AN04B023			T3	hl	04B	14013	acetylcholine	0.9377422884	73256337328617683	648518346500218630	5
AN	18473	17924	R	AN04B023	AN04B023			T3	hl	04B	14013	acetylcholine	0.947006361	73537812305394569	648518346490283217	5
AN	14013	14013	L	AN04B023	AN04B023			T2	ml	04B	14013	acetylcholine	0.9385444594	73256337328739727	648518346490274075	5
AN	15288	14013	R	AN04B023	AN04B023			T2	ml	04B	14013	acetylcholine	0.8993858633	73467443628477961	648518346492938414	5
AN	19912	19114	L	AN04B023	AN04B023			T1	fl	04B	14013	acetylcholine	0.9096511141	73185968718599593	648518346480237990	4
AN	19114	19114	R	AN04B023	AN04B023			T1	fl	04B	14013	acetylcholine	0.9084763978	73608181183909668	648518346493809294	4
AN	20275	17490	R	AN04B051	AN04B051			T1	xn	04B		acetylcholine	0.9239934819	73467443628348477	648518346470610686	1
AN	17490	17490	L	AN04B051	AN04B051			T1	xn	04B		acetylcholine	0.9067485399	73326706139958826	648518346484441639	1
AN	10327	10327	R	AN05B004	AN05B004			A8	xn	05B		gaba	0.8990495285	73397075085461169	648518346521690617	4
AN	11670	10327	L	AN05B004	AN05B004			A8	xn	05B		gaba	0.902049296	73326706341265529	648518346490553180	4
AN	10142	10142	R	AN05B005	AN05B005			T3	xn	05B	10142	gaba	0.8063013487	73326706341274843	648518346492136466	5
AN	10159	10142	L	AN05B005	AN05B005			T3	xn	05B	10142	gaba	0.7980733406	73397075085483573	648518346509700995	4
AN	10221	10221	R	AN05B006	AN05B006			T2	xn	05B	10221	gaba	0.8733593764	73397075018081256	648518346499600222	5
AN	10241	10221	L	AN05B006	AN05B006			T2	xn	05B	10221	gaba	0.8684603141	73397075018376768	648518346490236955	5
AN	10603	10603	R	AN05B006	AN05B006			T1	xn	05B	10221	gaba	0.8762711429	73326706207077663	648518346490563164	5
AN	10758	10603	L	AN05B006	AN05B006			T1	xn	05B	10221	gaba	0.8773701647	73397074951334160	648518346489557337	5
AN	10419	10381	L	AN05B007	AN05B007			T1	xl	05B		gaba	0.8578350646	73397074951206891	648518346488509423	5
AN	10381	10381	R	AN05B007	AN05B007			T1	xl	05B		gaba	0.8316832215	73326706207054320	648518346517524522	5
AN	10874	10266	R	AN05B009	AN05B009			A1	xl	05B	10266	gaba	0.8296198878	73256337597022977	648518346514632391	5
AN	11360	11360	R	AN05B009	AN05B009			A3	xn	05B	10266	gaba	0.8344330746	73256337597014435	648518346488148304	5
AN	11387	11360	L	AN05B009	AN05B009			A3	xn	05B	10266	gaba	0.7646703106	73467443829663104	648518346492139147	5
AN	10266	10266	L	AN05B009	AN05B009			A1	xl	05B	10266	gaba	0.8269993348	73397075085457058	648518346497391640	4
AN	10174	10174	L	AN05B010	AN05B010			T1	xl	05B	10174	gaba	0.8342190758	73467443829710543	648518346477154760	5
AN	10591	10174	R	AN05B010	AN05B010			T1	xl	05B	10174	gaba	0.8568828423	73256337597077608	648518346477782492	5
AN	11835	11835	R	AN05B015	AN05B015			A1	xn	05B		gaba	0.7901154314	73397075085405888	648518346511947632	4
AN	12226	11835	L	AN05B015	AN05B015			A1	xn	05B		gaba	0.793405689	73256337597000235	648518346509890249	4
AN	12264	12129	R	AN05B017	AN05B017			T1	xl	05B	11757	gaba	0.9644175126	73326706341249744	648518346494977418	5
AN	12129	12129	L	AN05B017	AN05B017			T1	xl	05B	11757	gaba	0.9572649584	73397075085467305	648518346488173854	5
AN	12350	12350	L	AN05B021	AN05B021		match is not ascending	T2	xl	05B	11841	gaba	0.8346374638		648518346514649287	2
AN	13792	12350	R	AN05B021	AN05B021			T2	xl	05B	11841	gaba	0.8325100762	73397075018209333	648518346479412412	5
AN	12714	12714	L	AN05B023	AN05B023	PPN1		A1	xn	05B	11592	gaba	0.7286995931	73326706341256139	648518346503901536	4
AN	11960	11960	R	AN05B023	AN05B023			A6	xn	05B	11592	gaba	0.6876364113	73326706341168909	648518346478077653	4
AN	12652	12652	R	AN05B023	AN05B023			T2	xn	05B	11592	gaba	0.8946120342	73397075085455167	648518346517414949	5
AN	13441	12652	L	AN05B023	AN05B023			T2	xn	05B	11592	gaba	0.8890381805	73326706341283178	648518346481456485	5
AN	17603	12714	R	AN05B023	AN05B023	PPN1		A1	xn	05B	11592	gaba	0.7477937984	73397075085403711	648518346490549514	4
AN	13187	11960	L	AN05B023	AN05B023			A6	xn	05B	11592	gaba	0.6435970324	73397075085349348	648518346474513602	5
AN	11592	11592	R	AN05B023	AN05B023			A9	xn	05B	11592	gaba	0.7340873191	73326706274211568	648518346493182640	5
AN	22016	11592	L	AN05B023	AN05B023			A9	xn	05B	11592	gaba	0.7119912897	73397075018648135	648518346491502142	5
AN	12139	12139	R	AN05B024	AN05B024			T1	xl	05B	12030	gaba	0.8643343848	73326706341260986	648518346496275468	5
AN	12371	12139	L	AN05B024	AN05B024			T1	xl	05B	12030	gaba	0.8473355286	73397075085442873	648518346491232632	5
AN	12414	12414	R	AN05B025	AN05B025			A7	xl	05B		gaba	0.6896962873	73326706341222359	648518346483300260	5
AN	12433	12414	L	AN05B025	AN05B025			A7	xl	05B		gaba	0.7350038229	73397075085424234	648518346482876969	5
AN	11520	11520	R	AN05B026	AN05B026			T1	xl	05B		gaba	0.8775266356	73326706341227836	648518346493914872	5
AN	12488	11520	L	AN05B026	AN05B026			T1	xl	05B		gaba	0.871342998	73397075085440812	648518346484036637	5
AN	12632	12581	R	AN05B027	AN05B027			T1	xl	05B		gaba	0.9039084152	73326706341210945	648518346511753840	5
AN	12581	12581	L	AN05B027	AN05B027			T1	xl	05B		gaba	0.8917213438	73397075085430456	648518346479571922	5
AN	13044	12899	L	AN05B029	AN05B029			T1	xn	05B		gaba	0.9449127628	73397075085447247	648518346478896212	5
AN	12899	12899	R	AN05B029	AN05B029			T1	xn	05B		gaba	0.9228965593	73326706341268484	648518346517987176	5
AN	13254	13254	L	AN05B035	AN05B035		male specific	A1	fl	05B		gaba	0.562839109			0
AN	13259	13254	R	AN05B035	AN05B035		male specific	A1	fl	05B		gaba	0.6839797081			0
AN	14672	14672	R	AN05B036	AN05B036		match is not ascending	T2	xn	05B		gaba	0.925951482		648518346504220712	2
AN	14762	14672	L	AN05B036	AN05B036		match is not ascending	T2	xn	05B		gaba	0.9368791783		648518346517553476	2
AN	15872	14115	L	AN05B040	AN05B040			T1	xn	05B		gaba	0.9261759418	73397075085504837	648518346491179811	4
AN	14115	14115	R	AN05B040	AN05B040			T1	xn	05B		gaba	0.9236704528	73256337597074859	648518346514659783	5
AN	17183	17183	L	AN05B044	AN05B044			T2	fl	05B		gaba	0.7471623364	73256337597002875	648518346501328781	5
AN	17248	17183	R	AN05B044	AN05B044			T2	fl	05B		gaba	0.7240265432	73467443829578158	648518346485643539	5
AN	15165	15165	R	AN05B045	AN05B045			A2	xn	05B		gaba	0.8596161434	73256337597030224	648518346490866861	4
AN	17609	15165	L	AN05B045	AN05B045			A2	xn	05B		gaba	0.8135536908	73397075085374554	648518346494118279	5
AN	16556	16414	L	AN05B046	AN05B046			T1	xn	05B		gaba	0.9068824202	73397075085474631	648518346500340405	5
AN	15348	16414	R	AN05B046	AN05B046			T1	xn	05B		gaba	0.9322822155	73326706341281935	648518346491244833	5
AN	16414	16414	R	AN05B046	AN05B046			T1	xn	05B		gaba	0.9205878426	73256337597054786	648518346504117454	4
AN	20000	20000	R	AN05B047	AN05B047			T1	xn	05B		gaba	0.8424034453	73326706341280602	648518346496969089	5
AN	16083	16083	R	AN05B048	AN05B048			T2	xn	05B		gaba	0.8052742846	73326706274257728	648518346490265297	5
AN	16892	16083	L	AN05B048	AN05B048			T2	xn	05B		gaba	0.822866908	73397075018448440	648518346495724688	5
AN	15563	15563	R	AN05B049	AN05B049			T2	xn	05B		gaba	0.818418303	73256337597046370	648518346484704845	5
AN	16216	16216	R	AN05B049	AN05B049			T2	xn	05B		gaba	0.723876271	73256337597076141	648518346509720451	5
AN	15423	15239	R	AN05B049	AN05B049			T2	xn	05B		gaba	0.8680628823	73256337597026557	648518346511137922	5
AN	18311	16216	L	AN05B049	AN05B049			T2	xn	05B		gaba	0.7065128535	73397075085469219	648518346488173086	5
AN	15239	15239	L	AN05B049	AN05B049			T2	xn	05B		gaba	0.8322146207	73397075085469208	648518346521685497	5
AN	17365	15563	L	AN05B049	AN05B049			T2	xn	05B		gaba	0.7724176892	73397075085412562	648518346493305920	5
AN	18183	13706	R	AN05B050	AN05B050			T2	xn	05B		gaba	0.7391664084	73326706274253242	648518346494975403	5
AN	15992	13706	R	AN05B050	AN05B050			T2	xn	05B		gaba	0.8304499886	73256337530135857	648518346481558465	5
AN	13706	13706	R	AN05B050	AN05B050			T2	xn	05B		gaba	0.7431594992	73326706274307425	648518346476905672	5
AN	16014	16014	R	AN05B050	AN05B050			T2	xn	05B		gaba	0.8147128262	73326706274281404	648518346478189781	5
AN	18705	13706	L	AN05B050	AN05B050			T2	xn	05B		gaba	0.7126045608	73397075018416236	648518346507633273	5
AN	13870	13706	L	AN05B050	AN05B050			T2	xn	05B		gaba	0.7610409685	73397075018484114	648518346495587403	5
AN	16257	16014	L	AN05B050	AN05B050			T2	xn	05B		gaba	0.8359303601	73397075018494892	648518346489561945	5
AN	16857	16579	R	AN05B052	AN05B052			T2	xn	05B		gaba	0.7931850975	73256337530343780	648518346475306849	5
AN	17001	17001	R	AN05B052	AN05B052			T2	xn	05B		gaba	0.8046120075	73256337597064477	648518346486498976	5
AN	17255	17001	L	AN05B052	AN05B052			T2	xn	05B		gaba	0.7815811943	73397075018445597	648518346502423463	5
AN	16579	16579	L	AN05B052	AN05B052			T2	xn	05B		gaba	0.8208419072	73397075085445112	648518346486738172	5
AN	20255	19868	R	AN05B053	AN05B053		difference in number	A3	ad	05B	14510	gaba	0.8045934727			0
AN	14510	14510	R	AN05B053	AN05B053			A5	xn	05B	14510	gaba	0.8359164411	73256337597033868	648518346491779646	5
AN	15949	15949	R	AN05B053	AN05B053			A4	xn	05B	14510	gaba	0.8642073685	73256337597041032	648518346494621461	5
AN	19868	19868	L	AN05B053	AN05B053		match is not ascending	A3	ad	05B	14510	gaba	0.7693435434		648518346499323486	1
AN	16026	15949	L	AN05B053	AN05B053			A4	xn	05B	14510	gaba	0.8357489626	73397075085474559	648518346489590105	5
AN	16453	14510	L	AN05B053	AN05B053			A5	xn	05B	14510	gaba	0.853400165	73397075085451231	648518346507309128	5
AN	17432	17432	R	AN05B054	AN05B054		match is not ascending	T2	xn	05B		gaba	0.9155339762		648518346483109350	1
AN	18009	17254	R	AN05B054	AN05B054			T2	xn	05B		gaba	0.9178128696	73256337597071878	648518346486438569	4
AN	15457	15264	R	AN05B054	AN05B054		match is not ascending	T2	xn	05B		gaba	0.9395555418		648518346504189280	1
AN	15264	15264	L	AN05B054	AN05B054		match is not ascending	T2	xn	05B		gaba	0.9255947528		648518346503058163	1
AN	17254	17254	L	AN05B054	AN05B054			T2	xn	05B		gaba	0.8860516799	73397075085440809	648518346483842965	5
AN	18766	17432	L	AN05B054	AN05B054		match is not ascending	T2	xn	05B		gaba	0.9035972411		648518346489935447	1
AN	17360	17360	L	AN05B056	AN05B056			T1	xn	05B		gaba	0.8371819853	73397075085408043	648518346491199674	5
AN	17624	17431	L	AN05B056	AN05B056			T1	xn	05B		gaba	0.8930684102	73397075085401702	648518346479135440	4
AN	17453	17360	R	AN05B056	AN05B056		difference in number	T1	xn	05B		gaba	0.8814963986			0
AN	17431	17431	R	AN05B056	AN05B056			T1	xn	05B		gaba	0.853510253	73256337597041051	648518346517962600	5
AN	14318	14318	L	AN05B058	AN05B058			T1	xn	05B		gaba	0.9187715743	73397075085494348	648518346502536019	5
AN	17733	17733	L	AN05B058	AN05B058		difference in number	T1	xn	05B		gaba	0.8832379266			0
AN	19742	19742	R	AN05B059	AN05B059			T3	hl	05B		gaba	0.7479709425	73326706274246305	648518346487990302	4
AN	21361	19742	L	AN05B059	AN05B059			T3	hl	05B		gaba	0.7120566093	73397075018476764	648518346502103113	4
AN	19874	19874	R	AN05B060	AN05B060			T3	hl	05B		gaba	0.7400624723	73326706274209002	648518346478892884	5
AN	21527	19874	L	AN05B060	AN05B060			T3	hl	05B		gaba	0.6985863461	73467443829371240	648518346502015338	5
AN	22617	22617	R	AN05B062	AN05B062			T3	hl	05B		gaba	0.7588199414	73256337597037395	648518346488650633	5
AN	13977	18745	R	AN05B062	AN05B062			T3	hl	05B		gaba	0.7935019874	73256337597016530	648518346512148927	4
AN	18745	18745	R	AN05B062	AN05B062			T3	hl	05B		gaba	0.7442223192	73256337530151377	648518346517430309	5
AN	21137	18745	L	AN05B062	AN05B062			T3	hl	05B		gaba	0.7635940901	73397075018456513	648518346489576281	5
AN	27876	22617	L	AN05B062	AN05B062			T3	hl	05B		gaba	0.7642083065	73467443762928155	648518346475574196	5
AN	17471	14533	R	AN05B063	AN05B063			T2	xn	05B	14533	gaba	0.8138025839	73256337597049702	648518346511958640	5
AN	14533	14533	L	AN05B063	AN05B063			T2	xn	05B	14533	gaba	0.8100055604	73397075085478378	648518346492164370	1
AN	20699	20699	R	AN05B063	AN05B063			T3	xn	05B	14533	gaba	0.7358291091	73256337597046387	648518346507418655	1
AN	23105	20699	L	AN05B063	AN05B063			T3	xn	05B	14533	gaba	0.6857148803	73397075085447249	648518346495751755	5
AN	21432	20530	L	AN05B067	AN05B067			T1	xn	05B		gaba	0.8399562767	73397075085376934	648518346477676695	5
AN	39801	20530	L	AN05B067	AN05B067			T1	xn	05B		gaba	0.7715757352	73397075085399537	648518346479131600	5
AN	20530	20530	R	AN05B067	AN05B067			T1	xn	05B		gaba	0.8039072005	73256337597062956	648518346494456341	5
AN	14114	14114	R	AN05B068	AN05B068		difference in number	T3	xn	05B		gaba	0.8541989472			0
AN	22092	22092	R	AN05B068	AN05B068			T3	xn	05B		gaba	0.8407832932	73256337597033906	648518346517233732	5
AN	23591	23591	R	AN05B068	AN05B068			T3	xn	05B		gaba	0.7243492232	73256337597002877	648518346526161367	5
AN	23287	22092	L	AN05B068	AN05B068			T3	xn	05B		gaba	0.6481964287	73397075085432574	648518346490532444	4
