class	cell_id	supervoxel_id	root_id	group	side	type	soma_division	manc_match_id	manc_predicted_nt	dimorphic	figure	name_in_figure
IN	17179	72272756062104524	648518346499276353	648518346479401152	R	IN03A066	T1	20328	acetylcholine	no	stereotypy	DNa02 circuit
IN	16746	74172643569766570	648518346501162584	648518346479401152	L	IN03A066	T1	22774	acetylcholine	no	stereotypy	DNa02 circuit
IN	20447	73470124358920089	648518346483396940	648518346481985981	R	IN03B015	T2	10791	gaba	no	stereotypy	DNa02 circuit
IN	16878	73750431574447951	648518346491240312	648518346481985981	R	IN03B015	T1	11030	gaba	no	stereotypy	DNa02 circuit
IN	16709	72483793910806710	648518346495609423	648518346481985981	L	IN03B015	T1	11373	gaba	no	stereotypy	DNa02 circuit
IN	20495	72977542612836673	648518346494278647	648518346481985981	L	IN03B015	T2	11655	gaba	no	stereotypy	DNa02 circuit
IN	20460	73118280167984979	648518346488733880	648518346488733880	L	IN03B019	T2	11129	gaba	no	stereotypy	DNa02 circuit
IN	16977	73750431440305328	648518346504748934	648518346488733880	R	IN03B019	T1	11319	gaba	no	stereotypy	DNa02 circuit
IN	20424	73610793530530519	648518346492715694	648518346488733880	R	IN03B019	T2	11368	gaba	no	stereotypy	DNa02 circuit
IN	16447	72554094002578080	648518346507442719	648518346488733880	L	IN03B019	T1	101414	gaba	no	stereotypy	DNa02 circuit
IN	17266	72624600118613179	648518346486786863	648518346486786863	L	IN03B021	T1	10599	gaba	no	stereotypy	leg premotor circuit
IN	21639	72837080270984067	648518346500049292	648518346486786863	L	IN03B021	T2	11717	gaba	no	stereotypy	leg premotor circuit
IN	24881	74315922537916688	648518346479556050	648518346479556050	R	IN03B025	T3	11559	gaba	no	stereotypy	leg premotor circuit
IN	25864	72979122758145215	648518346490301723	648518346479556050	L	IN03B025	T3	11662	gaba	no	stereotypy	leg premotor circuit
IN	17043	72483793977802903	648518346467249134	648518346467249134	L	IN03B042	T1	13635	gaba	no	stereotypy	leg premotor circuit
IN	17193	73750500226898316	648518346503914592	648518346467249134	R	IN03B042	T1	13931	gaba	no	stereotypy	leg premotor circuit
IN	19967	73399618041810601	648518346491529278	648518346467249134	R	IN03B042	T2	14076	gaba	no	stereotypy	leg premotor circuit
IN	21198	73048049131587180	648518346491611322	648518346467249134	L	IN03B042	T2	15105	gaba	no	stereotypy	leg premotor circuit
IN	25760	73190229057778809	648518346490696189	648518346467249134	L	IN03B042	T3	23648	gaba	no	stereotypy	leg premotor circuit
IN	25080	73893779195052947	648518346517338666	648518346490040347	R	IN04B031	T3	15525	acetylcholine	no	stereotypy	leg premotor circuit
IN	24371	73964010500064151	648518346492759993	648518346490040347	R	IN04B031	T3	15793	acetylcholine	no	stereotypy	leg premotor circuit
IN	19326	72695587740641895	648518346514440926	648518346490040347	L	IN04B031	T2	16092	acetylcholine	no	stereotypy	leg premotor circuit
IN	25041	73471566797006897	648518346514126558	648518346490040347	L	IN04B031	T3	16917	acetylcholine	no	stereotypy	leg premotor circuit
IN	19806	73751393848376334	648518346491332641	648518346490040347	R	IN04B031	T2	17435	acetylcholine	no	stereotypy	leg premotor circuit
IN	15479	73046469254627502	648518346490040347	648518346490040347	L	IN04B031	T1	18605	acetylcholine	no	stereotypy	leg premotor circuit
IN	15266	73468475695499942	648518346491926034	648518346490040347	R	IN04B031	T1	26241	acetylcholine	no	stereotypy	leg premotor circuit
IN	15564	73539050598343273	648518346484959133	648518346484959133	R	IN04B037	T1	18712	acetylcholine	no	stereotypy	leg premotor circuit
IN	15634	72976169296747417	648518346498641172	648518346484959133	L	IN04B037	T1	18831	acetylcholine	no	stereotypy	leg premotor circuit
IN	15307	73116700559936670	648518346476708214	648518346476708214	L	IN04B078	T1	100339	acetylcholine	no	stereotypy	leg premotor circuit
IN	19021	72695381582261533	648518346501049110	648518346476708214	L	IN04B078	T2	153351	acetylcholine	no	stereotypy	leg premotor circuit
IN	25175	73964148006244447	648518346479827941	648518346476708214	R	IN04B078	T3	158029	acetylcholine	no	stereotypy	leg premotor circuit
IN	15305	73327806859527757	648518346484012839	648518346476708214	R	IN04B078	T1	16938	acetylcholine	no	stereotypy	leg premotor circuit
IN	18882	72695312862502012	648518346500733144	648518346476708214	L	IN04B078	T2	18857	acetylcholine	no	stereotypy	leg premotor circuit
IN	25160	74034516750399842	648518346486137480	648518346476708214	R	IN04B078	T3	19611	acetylcholine	no	stereotypy	leg premotor circuit
IN	15225	73116563053938099	648518346496991533	648518346476708214	L	IN04B078	T1	20836	acetylcholine	no	stereotypy	leg premotor circuit
IN	25171	73401198052914976	648518346478271469	648518346476708214	L	IN04B078	T3	20982	acetylcholine	no	stereotypy	leg premotor circuit
IN	15340	73327806859540473	648518346496063563	648518346476708214	R	IN04B078	T1	21160	acetylcholine	no	stereotypy	leg premotor circuit
IN	25004	73401198186872375	648518346479857381	648518346476708214	L	IN04B078	T3	21183	acetylcholine	no	stereotypy	leg premotor circuit
IN	18911	73539737927025175	648518346500277564	648518346476708214	R	IN04B078	T2	21216	acetylcholine	no	stereotypy	leg premotor circuit
IN	19873	72625493807212306	648518346466683246	648518346466683246	L	IN04B081	T2	13910	acetylcholine	no	stereotypy	DNa02 circuit
IN	15793	73961331648634057	648518346483541141	648518346466683246	R	IN04B081	T1	17584	acetylcholine	no	stereotypy	DNa02 circuit
IN	20183	73681162476089690	648518346476880144	648518346466683246	R	IN04B081	T2	18335	acetylcholine	no	stereotypy	DNa02 circuit
IN	20445	73681231195451081	648518346483790255	648518346466683246	R	IN04B081	T2	18663	acetylcholine	no	stereotypy	DNa02 circuit
IN	21476	72766643277061945	648518346487633876	648518346466683246	L	IN04B081	T2	19372	acetylcholine	no	stereotypy	DNa02 circuit
IN	16474	72765200503466925	648518346475521920	648518346466683246	L	IN04B081	T1	19833	acetylcholine	no	stereotypy	DNa02 circuit
IN	19824	72766231228596548	648518346493971232	648518346466683246	L	IN04B081	T2	20441	acetylcholine	no	stereotypy	DNa02 circuit
IN	20011	73821831379068897	648518346500779699	648518346466683246	R	IN04B081	T2	20650	acetylcholine	no	stereotypy	DNa02 circuit
IN	16146	73961400502217822	648518346486733281	648518346466683246	R	IN04B081	T1	21134	acetylcholine	no	stereotypy	DNa02 circuit
IN	15996	72624394094425954	648518346478626900	648518346466683246	L	IN04B081	T1	21189	acetylcholine	no	stereotypy	DNa02 circuit
IN	16065	72624394161515764	648518346491934738	648518346466683246	L	IN04B081	T1	21322	acetylcholine	no	stereotypy	DNa02 circuit
IN	15745	73820594294398920	648518346493082908	648518346466683246	R	IN04B081	T1	21519	acetylcholine	no	stereotypy	DNa02 circuit
IN	19734	72766162576105013	648518346509817545	648518346466683246	L	IN04B081	T2	21569	acetylcholine	no	stereotypy	DNa02 circuit
IN	15969	73891031825043338	648518346494334952	648518346466683246	R	IN04B081	T1	21782	acetylcholine	no	stereotypy	DNa02 circuit
IN	21163	73892474732713066	648518346501138573	648518346466683246	R	IN04B081	T2	22780	acetylcholine	no	stereotypy	DNa02 circuit
IN	16234	72624462880996194	648518346494414613	648518346466683246	L	IN04B081	T1	24181	acetylcholine	no	stereotypy	DNa02 circuit
IN	24246	73752904335040977	648518346499818819	648518346484735901	R	IN05B032	T3	27270	gaba	dimorphic in connectivity	dimorphic DN figure, DNa12	IN05B032_f
IN	24816	73401129199108844	648518346484735901	648518346484735901	L	IN05B032	T3	13584	gaba	dimorphic in connectivity	dimorphic DN figure, DNa12	IN05B032_f
IN	23391	73682329767578719	648518346483607215	648518346483607215	L	IN05B041	T3	14189	gaba	dimorphic in connectivity	dimorphic DN figure, DNa12	IN05B041_f
IN	22983	73752629859605485	648518346494183538	648518346483607215	R	IN05B041	T3	15306	gaba	dimorphic in connectivity	dimorphic DN figure, DNa12	IN05B041_f
IN	21140	72907311844587063	648518346482561172	648518346482561172	L	IN06A002	T2	13109	glutamate	no	stereotypy	DNa02 circuit
IN	20481	73610862182764318	648518346493144896	648518346482561172	R	IN06A002	T2	20462	glutamate	no	stereotypy	DNa02 circuit
IN	16562	73609625433617399	648518346485879236	648518346485879236	R	IN06A004	T1	11532	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN06A004_f
IN	17018	72554162856348882	648518346500449717	648518346485879236	L	IN06A004	T1	11646	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN06A004_f
IN	20074	73540356201230485	648518346496395325	648518346492765113	R	IN06A028	T2	10349	glutamate	no	stereotypy	leg premotor circuit
IN	21462	72837011886872864	648518346492765113	648518346492765113	L	IN06A028	T2	11678	glutamate	no	stereotypy	leg premotor circuit
IN	16342	73609625500815651	648518346494300427	648518346494300427	R	IN06B001	T1	10031	gaba	no	stereotypy	leg premotor circuit
IN	16187	72835569180655093	648518346494744965	648518346494300427	L	IN06B001	T1	10053	gaba	no	stereotypy	leg premotor circuit
IN	19284	73047431327415820	648518346512208575	648518346494290443	L	IN06B012	T2	10605	gaba	no	stereotypy	leg premotor circuit
IN	19584	73329043608889969	648518346494290443	648518346494290443	R	IN06B012	T2	10654	gaba	no	stereotypy	leg premotor circuit
IN	20123	73258880754735263	648518346491587270	648518346491587270	R	IN06B013	T2	11682	glutamate	no	dimorphic DN figure, DNp13	IN06B013
IN	16479	73117044023049569	648518346481240154	648518346481240154	L	IN06B018	T1	10952	gaba	no	stereotypy	leg premotor circuit
IN	16711	73328219176422762	648518346490341147	648518346481240154	R	IN06B018	T1	11740	gaba	no	stereotypy	leg premotor circuit
IN	19334	73188168815998275	648518346506641442	648518346472248626	L	IN06B019	T2	11686	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN06B019_f
IN	19305	73258537627010665	648518346472248626	648518346472248626	R	IN06B019	T2	11944	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN06B019_f
IN	18899	73328631426269937	648518346493348672	648518346493348672	R	IN06B022	T2	10794	gaba	no	stereotypy	leg premotor circuit
IN	18970	73047225101829570	648518346497439256	648518346493348672	L	IN06B022	T2	11934	gaba	no	stereotypy	leg premotor circuit
IN	16532	72976306601790133	648518346479798245	648518346479798245	L	IN06B028	T1	14071	gaba	no	stereotypy	leg premotor circuit
IN	16328	73257781578545853	648518346497040180	648518346479798245	R	IN06B028	T1	15444	gaba	no	stereotypy	leg premotor circuit
IN	19102	73047293955485800	648518346489661273	648518346479798245	L	IN06B028	T2	159145	glutamate	no	stereotypy	leg premotor circuit
IN	19176	73258468907603504	648518346518631254	648518346479798245	R	IN06B028	T2	227869	glutamate	no	stereotypy	leg premotor circuit
IN	19499	73258674864776513	648518346506609186	648518346478634580	R	IN06B035	T2	11261	glutamate	no	dimorphic DN figure, DNp13	IN06B035
IN	23437	73823135639871910	648518346493933600	648518346478634580	R	IN06B035	T3	170897	glutamate	no	dimorphic DN figure, DNp13	IN06B035
IN	23405	73611960755476706	648518346478634580	648518346478634580	L	IN06B035	T3	19760	glutamate	no	dimorphic DN figure, DNp13	IN06B035
IN	19321	72977062650383191	648518346502494790	648518346478634580	L	IN06B035	T2	28229	glutamate	no	dimorphic DN figure, DNp13	IN06B035
IN	23230	73823067121724796	648518346485363731	648518346485363731	R	IN06B038	T3	14766	gaba	no	dimorphic DN figure, DNp13	IN06B038
IN	22755	73752561139886102	648518346493559288	648518346485363731	R	IN06B038	T3	14989	gaba	no	dimorphic DN figure, DNp13	IN06B038
IN	22996	73611892236895127	648518346501759561	648518346485795454	L	IN06B047	T3	15008	gaba	no	dimorphic DN figure, DNp13	IN06B047
IN	22558	73611754730808900	648518346501087320	648518346485795454	L	IN06B047	T3	15701	gaba	no	dimorphic DN figure, DNp13	IN06B047
IN	23381	73752698377695835	648518346485795454	648518346485795454	R	IN06B047	T3	15856	gaba	no	dimorphic DN figure, DNp13	IN06B047
IN	23217	73682329566437484	648518346491067681	648518346491067681	R	IN06B050	T3	16302	gaba	no	dimorphic DN figure, DNp13	IN06B050
IN	23140	73611960755142979	648518346493788785	648518346491067681	L	IN06B050	T3	19879	gaba	no	dimorphic DN figure, DNp13	IN06B050
IN	14616	73116081480700071	648518346492602307	648518346492602307	L	IN07B001	T1	10010	acetylcholine	no	stereotypy	leg premotor circuit
IN	14535	73538294147057922	648518346496938029	648518346492602307	R	IN07B001	T1	10018	acetylcholine	no	stereotypy	leg premotor circuit
IN	17957	72765475112944287	648518346515421767	648518346492602307	L	IN07B001	T2	10087	acetylcholine	no	stereotypy	leg premotor circuit
IN	18377	73469231475540958	648518346495588175	648518346492602307	R	IN07B001	T2	10166	acetylcholine	no	stereotypy	leg premotor circuit
IN	14468	73538294012977936	648518346489732460	648518346489732460	R	IN07B002	T1	10090	acetylcholine	no	stereotypy	leg premotor circuit
IN	15036	73045919096180163	648518346514037017	648518346489732460	L	IN07B002	T1	10264	acetylcholine	no	stereotypy	leg premotor circuit
IN	22278	73822723927015647	648518346494507143	648518346489732460	R	IN07B002	T3	10298	acetylcholine	no	stereotypy	leg premotor circuit
IN	23415	73049011539603240	648518346491078264	648518346489732460	L	IN07B002	T3	10373	acetylcholine	no	stereotypy	leg premotor circuit
IN	18695	73610037817747936	648518346495029419	648518346489732460	R	IN07B002	T2	10404	acetylcholine	no	stereotypy	leg premotor circuit
IN	18748	72695244008827858	648518346495436470	648518346489732460	L	IN07B002	T2	10416	acetylcholine	no	stereotypy	leg premotor circuit
IN	18814	73610106470043307	648518346489320793	648518346481131008	R	IN07B006	T2	10148	acetylcholine	no	stereotypy	DNa02 circuit
IN	18824	72765681405565757	648518346494538039	648518346481131008	L	IN07B006	T2	10206	acetylcholine	no	stereotypy	DNa02 circuit
IN	14766	73679100489067525	648518346489929433	648518346481131008	R	IN07B006	T1	10297	acetylcholine	no	stereotypy	DNa02 circuit
IN	14696	73045781590282678	648518346483471524	648518346481131008	L	IN07B006	T1	10340	acetylcholine	no	stereotypy	DNa02 circuit
IN	22913	74104473781307923	648518346487897666	648518346481131008	R	IN07B006	T3	11879	acetylcholine	no	stereotypy	DNa02 circuit
IN	23318	73400855059406528	648518346481131008	648518346481131008	L	IN07B006	T3	12072	acetylcholine	no	stereotypy	DNa02 circuit
IN	23914	74245417159865827	648518346483440460	648518346483440460	R	IN07B007	T3	10306	glutamate	no	stereotypy	leg premotor circuit
IN	17699	73539462915032113	648518346489704645	648518346483440460	R	IN07B007	T2	10423	glutamate	no	stereotypy	leg premotor circuit
IN	24680	73119654960687231	648518346500066883	648518346483440460	L	IN07B007	T3	10587	glutamate	no	stereotypy	leg premotor circuit
IN	14345	73116012828180240	648518346501404438	648518346483440460	L	IN07B007	T1	10593	glutamate	no	stereotypy	leg premotor circuit
IN	14318	73608594037633323	648518346487530922	648518346483440460	R	IN07B007	T1	10802	glutamate	no	stereotypy	leg premotor circuit
IN	14416	73256750316582060	648518346485677843	648518346483081125	L	IN07B009	T1	10463	glutamate	no	stereotypy	leg premotor circuit
IN	14395	73467856683391616	648518346513926169	648518346483081125	R	IN07B009	T1	10673	glutamate	no	stereotypy	leg premotor circuit
IN	22648	73893298762705623	648518346483081125	648518346483081125	R	IN07B009	T3	11128	glutamate	no	stereotypy	leg premotor circuit
IN	18623	73610037616229296	648518346496479351	648518346496479351	R	IN07B010	T2	10335	acetylcholine	no	stereotypy	leg premotor circuit
IN	18123	72765475045877884	648518346499632219	648518346496479351	L	IN07B010	T2	10440	acetylcholine	no	stereotypy	leg premotor circuit
IN	22195	73822655207466217	648518346477863125	648518346477863125	R	IN07B034	T3	13998	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN07B034_f
IN	23687	73330554967578714	648518346490303496	648518346477863125	L	IN07B034	T3	14683	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	IN07B034_f
IN	18725	72835981430348341	648518346504996486	648518346480562390	L	IN07B104	T2	10799	glutamate	no	stereotypy	leg premotor circuit
IN	18743	73469300396351635	648518346480562390	648518346480562390	R	IN07B104	T2	11127	glutamate	no	stereotypy	leg premotor circuit
IN	23349	74456385953661949	648518346490561277	648518346479221455	R	IN08A002	T3	10198	glutamate	no	stereotypy	leg premotor circuit
IN	23998	72908411423224563	648518346479221455	648518346479221455	L	IN08A002	T3	10203	glutamate	no	stereotypy	leg premotor circuit
IN	14541	72904975315113505	648518346496053067	648518346479221455	L	IN08A002	T1	10332	glutamate	no	stereotypy	leg premotor circuit
IN	14502	73749400312520200	648518346486997657	648518346479221455	R	IN08A002	T1	10354	glutamate	no	stereotypy	leg premotor circuit
