xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract_from_manc	soma_location	predicted_nt	predicted_nt_prob	predicted_nt_new	hemibrain_type	hemilineage
(129641, 81618, 5798)	129641	81618	5798	79521766900483401	720575940620116001	L		AN	AN_GNG_186			ACH	0.76	ACH		
(125217, 77046, 5798)	125217	77046	5798	79239948326374999	720575940622944915	L		AN	AN_GNG_IPS_20			ACH	0.68	ACH		
(128925, 82344, 5798)	128925	82344	5798	79451398156296573	720575940607157955	L		SA	SA_DLV	DLV			0	unk		
(127259, 78717, 5798)	127259	78717	5798	79380823253683620	720575940625588904	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128179, 78370, 5798)	128179	78370	5798	79451123278385653	720575940615063711	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125846, 79708, 5798)	125846	79708	5798	79240154484787397	720575940621362835	L		AN	AN_GNG_177				0	unk		
(127254, 78196, 5798)	127254	78196	5798	79380754534202664	720575940629548600	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128864, 80909, 5798)	128864	80909	5798	79451329436817047	720575940626098694	L		AN	GNG_unmatched				0	unk		
(127485, 83102, 5799)	127485	83102	5799	79381098131582463	720575940625947335	L		AN	AN_GNG_200			GABA	0.49	unk		
(130872, 79152, 5798)	130872	79152	5798	79591929486227693	720575940614189310	L		AN	AN_multi_47			ACH	0.94	ACH		
(127009, 82528, 5799)	127009	82528	5799	79381029412108282	720575940627230722	L		AN	AN_GNG_33			ACH	0.56	unk		
(130067, 84039, 5799)	130067	84039	5799	79592273083598660	720575940632556831	L		AN	AN_SLP_LH_1			ACH	0.84	ACH	hb-422328492	
(128434, 83517, 5798)	128434	83517	5798	79451466875744711	720575940649812857	L		AN	AN_multi_18			ACH	0.97	ACH		
(129995, 82033, 5798)	129995	82033	5798	79592135644641439	720575940633324724	L		AN	AN_GNG_88			ACH	0.93	ACH		
(129252, 79890, 5798)	129252	79890	5798	79521629461508239	720575940618768806	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129536, 76138, 5798)	129536	76138	5798	79521354583610014	720575940629070155	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126253, 82394, 5799)	126253	82394	5799	79310660667933011	720575940621751792	L		AN	AN_GNG_WED_1			ACH	0.87	ACH		
(128589, 77048, 5798)	128589	77048	5798	79451054558911483	720575940629043986	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129042, 82346, 5798)	129042	82346	5798	79521766900478133	720575940629847436	L		SA	SA_DLV	DLV		ACH	0.55	unk		
(130001, 84113, 5799)	130001	84113	5799	79592273083605276	720575940605158572	L		AN	AN_GNG_PRW_4			GABA	0.54	unk		
(130343, 81540, 5798)	130343	81540	5798	79592135644643391	720575940620312797	L		AN	AN_GNG_164			SER	0.52	unk		
(129132, 82412, 5798)	129132	82412	5798	79521766900477085	720575940622527015	L		SA	SA_DLV	DLV		ACH	0.67	ACH		
(125288, 79312, 5798)	125288	79312	5798	79240085765327913	720575940623467664	L		AN	AN_IPS_GNG_6			ACH	0.82	ACH		
(129947, 81475, 5798)	129947	81475	5798	79521698180996176	720575940626648634	L		AN	AN_GNG_61			ACH	0.92	ACH		
(131751, 78114, 5798)	131751	78114	5798	79662229510926378	720575940616986310	L		AN	AN_SAD_FLA_1				0	unk		
(129724, 82345, 5798)	129724	82345	5798	79521766900489836	720575940631011781	L		AN	AN_multi_25			ACH	0.92	ACH		
(130361, 81644, 5798)	130361	81644	5798	79592135644651416	720575940623788519	L		AN	AN_AVLP_19			ACH	0.92	ACH		
(129848, 84011, 5799)	129848	84011	5799	79521904339406126	720575940627372090	L		AN	AN_multi_32				0	unk		
(130878, 83547, 5798)	130878	83547	5798	79592204364134343	720575940602382304	L		AN	AN_GNG_SAD_13			ACH	0.58	unk		
(126970, 80333, 5798)	126970	80333	5798	79380891973154532	720575940631106767	L		AN	AN_IPS_LAL_1			ACH	0.85	ACH		
(128556, 81397, 5798)	128556	81397	5798	79451329436813444	720575940602430944	L		AN	AN_IPS_WED_1			ACH	0.85	ACH		
(125557, 79571, 5798)	125557	79571	5798	79240154484805911	720575940602447328	L		AN	AN_GNG_142				0	unk		
(125180, 80121, 5798)	125180	80121	5798	79240154484803199	720575940629212098	L		AN	AN_GNG_11			ACH	0.95	ACH		
(127960, 83078, 5799)	127960	83078	5799	79451466875774002	720575940618260500	L		AN	AN_AVLP_SAD_2			GABA	0.8	GABA		
(130622, 81603, 5798)	130622	81603	5798	79592135644648922	720575940603456288	L		AN	AN_GNG_92			ACH	0.86	ACH		
(130608, 81985, 5798)	130608	81985	5798	79592135644638878	720575940603460640	L		AN	AN_AVLP_2			ACH	0.87	ACH		
(130285, 77633, 5798)	130285	77633	5798	79591860766752898	720575940603537766	L		AN	AN_GNG_202			GLUT	0.48	unk		
(130735, 78055, 5798)	130735	78055	5798	79591860766750493	720575940627621628	L		AN	AN_GNG_WED_3			ACH	0.82	ACH		
(129405, 82020, 5798)	129405	82020	5798	79521766900472101	720575940603574374	L		AN	AN_AVLP_53			ACH	0.94	ACH		
(129110, 82736, 5798)	129110	82736	5798	79521835619935098	720575940642427789	L		AN	AN_multi_26			ACH	0.94	ACH		
(128538, 83615, 5798)	128538	83615	5798	79451535595225605	720575940632300973	L		AN	AN_VES_WED_1			ACH	0.98	ACH		
(131175, 83912, 5798)	131175	83912	5798	79662641827777050	720575940603595366	L		AN	AN_AVLP_25			ACH	0.9	ACH		
(127088, 82479, 5799)	127088	82479	5799	79381029412129334	720575940603599206	L		AN	AN_GNG_VES_8			ACH	0.95	ACH		
(128953, 74815, 5798)	128953	74815	5798	79521285864126962	720575940629739068	L		AN	AN_SPS_IPS_4			ACH	0.86	ACH		
(128176, 82461, 5798)	128176	82461	5798	79451398156294073	720575940611710322	L		AN	AN_AVLP_34			ACH	0.89	ACH		
(130913, 79030, 5798)	130913	79030	5798	79591929486216170	720575940622135757	L		AN	AN_VES_WED_2			ACH	0.96	ACH		
(129407, 83494, 5798)	129407	83494	5798	79521835619942581	720575940606197193	L		AN	AN_GNG_121			GABA	0.44	unk		
(128129, 81265, 5798)	128129	81265	5798	79451329436815931	720575940615443805	L		AN	AN_IPS_WED_2			ACH	0.88	ACH		
(129468, 83439, 5798)	129468	83439	5798	79521835619948619	720575940606310748	L		AN	AN_GNG_197			GABA	0.46	unk		
(130358, 83967, 5798)	130358	83967	5798	79592273083598598	720575940606567125	L		SA	SA_VTV_2	VTV		ACH	0.89	ACH		
(127899, 82869, 5799)	127899	82869	5799	79381098131569031	720575940603882174	L		AN	AN_multi_16			ACH	0.83	ACH		
(130459, 82355, 5798)	130459	82355	5798	79592135644652988	720575940616343441	L		AN	AN_multi_63			ACH	0.74	ACH		
(127708, 83069, 5799)	127708	83069	5799	79381098131581344	720575940627398855	L		AN	AN_GNG_126			GABA	0.6	unk		
(129193, 81518, 5798)	129193	81518	5798	79521698180982789	720575940632987859	L		AN	AN_GNG_180			GLUT	0.54	unk		
(126699, 80520, 5798)	126699	80520	5798	79310591948466855	720575940626198790	L		AN	AN_GNG_IPS_16				0	unk		
(125413, 76700, 5798)	125413	76700	5798	79239948326382300	720575940650215670	L		AN	AN_GNG_175				0	unk		
(129231, 83365, 5798)	129231	83365	5798	79521835619950827	720575940639458037	L		AN	AN_GNG_197			GABA	0.34	unk		
(130488, 77807, 5798)	130488	77807	5798	79591860766749055	720575940620082598	L		AN	AN_GNG_114				0	unk		
(130378, 83095, 5798)	130378	83095	5798	79592204364118879	720575940607118275	L		AN	AN_GNG_137			GLUT	0.53	unk		
(130577, 81498, 5798)	130577	81498	5798	79592066925186197	720575940607128771	L		AN	AN_GNG_164			ACH	0.87	ACH		
(129335, 82394, 5798)	129335	82394	5798	79521766900478147	720575940607136707	L		AN	AN_AVLP_53			ACH	0.93	ACH		
(130902, 80889, 5798)	130902	80889	5798	79592066925179360	720575940630021392	L		AN	AN_GNG_115			ACH	0.87	ACH		
(130657, 83069, 5798)	130657	83069	5798	79592204364125425	720575940639295347	L		AN	AN_multi_69			ACH	0.82	ACH		
(127819, 80462, 5798)	127819	80462	5798	79380891973157416	720575940627748352	L		SA	SA_DMT_ADMN_9	DMT			0	unk		
(128869, 82894, 5798)	128869	82894	5798	79451466875757406	720575940626319900	L		AN	AN_AVLP_27			ACH	0.68	ACH		
(130027, 83048, 5798)	130027	83048	5798	79592204364124303	720575940645197188	L		AN	AN_WED_GNG_2			ACH	0.84	ACH		
(126703, 80189, 5798)	126703	80189	5798	79310523228976400	720575940631414180	L		AN	AN_GNG_172				0	unk		
(130676, 84162, 5798)	130676	84162	5798	79592273083594061	720575940608900050	L		AN	AN_GNG_99				0	unk		
(128248, 76687, 5798)	128248	76687	5798	79451054558908826	720575940616261844	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130362, 83165, 5798)	130362	83165	5798	79592204364124352	720575940608996450	L		AN	AN_GNG_118			ACH	0.56	unk		
(130503, 81335, 5798)	130503	81335	5798	79592066925188734	720575940626951513	L		AN	AN_multi_59			ACH	0.92	ACH		
(129410, 76175, 5798)	129410	76175	5798	79521354583627734	720575940609187101	L		SA	SA_DMT_DMetaN_6	DMT			0	unk		
(124667, 78372, 5798)	124667	78372	5798	79169648301672789	720575940610284441	L		AN	AN_GNG_IPS_17			ACH	0.82	ACH		
(128722, 83530, 5798)	128722	83530	5798	79451466875744578	720575940639623795	L		AN	AN_multi_18			ACH	0.97	ACH		
(130446, 81518, 5798)	130446	81518	5798	79592066925173968	720575940611832490	L		AN	AN_GNG_183			ACH	0.85	ACH		
(127711, 82987, 5799)	127711	82987	5799	79381098131575900	720575940632996920	L		AN	AN_AVLP_GNG_22			ACH	0.74	ACH		
(127594, 83456, 5798)	127594	83456	5798	79381098131579353	720575940628894251	L		AN	AN_AVLP_GNG_3			GABA	0.84	GABA		
(129114, 82303, 5798)	129114	82303	5798	79521766900479229	720575940610022642	L		SA	SA_DLV	DLV		ACH	0.63	ACH		
(129745, 78892, 5798)	129745	78892	5798	79521560742035854	720575940610033394	L		AN	AN_IPS_SPS_unmatched			ACH	0.73	ACH		
(129461, 80000, 5798)	129461	80000	5798	79521629461514919	720575940621840297	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129337, 82327, 5798)	129337	82327	5798	79521766900482623	720575940623368375	L		AN	AN_AVLP_46			ACH	0.91	ACH		
(131094, 83889, 5798)	131094	83889	5798	79662641827773602	720575940620122503	L		AN	AN_multi_96			ACH	0.73	ACH		
(128048, 83186, 5799)	128048	83186	5799	79451466875753975	720575940610148505	L		AN	AN_AVLP_39				0	unk		
(130195, 84234, 5798)	130195	84234	5798	79592273083594091	720575940610156697	L		SA	SA_VTV_6	VTV		SER	0.93	other		
(129435, 83029, 5798)	129435	83029	5798	79521835619943359	720575940622264444	L		AN	AN_GNG_160			ACH	0.89	ACH		
(127044, 81093, 5798)	127044	81093	5798	79380960692631826	720575940625969351	L		AN	AN_GNG_32			ACH	0.97	ACH		
(127927, 81231, 5798)	127927	81231	5798	79451329436813323	720575940641702304	L		AN	AN_GNG_42			ACH	0.64	ACH		
(125503, 80494, 5798)	125503	80494	5798	79240154484795263	720575940610200217	L		AN	AN_GNG_8			ACH	0.98	ACH		
(129869, 78154, 5798)	129869	78154	5798	79521492022567477	720575940610219237	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127317, 82768, 5799)	127317	82768	5799	79381098131581147	720575940610264490	L		AN	AN_multi_123			GABA	0.74	GABA		
(130977, 83537, 5798)	130977	83537	5798	79592204364120247	720575940623776743	L		AN	AN_AVLP_GNG_19			ACH	0.67	ACH		
(124749, 78796, 5798)	124749	78796	5798	79169717021133278	720575940627386884	L		SA	SA_DMT_DMetaN_8	DMT			0	unk		
(127302, 81099, 5798)	127302	81099	5798	79380960692630571	720575940610821654	L		AN	AN_GNG_IPS_19			ACH	0.64	ACH		
(129666, 75851, 5798)	129666	75851	5798	79521354583615286	720575940610824214	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129337, 82531, 5798)	129337	82531	5798	79521766900472596	720575940611427697	L		AN	AN_AVLP_53			ACH	0.89	ACH		
(129244, 82332, 5798)	129244	82332	5798	79521766900489834	720575940629561400	L		AN	AN_AVLP_48			ACH	0.95	ACH		
(128652, 82804, 5798)	128652	82804	5798	79451466875761047	720575940628710555	L		AN	AN_AMMC_SAD_1				0	unk		
(126670, 82314, 5798)	126670	82314	5798	79310660667934264	720575940625176957	L		AN	AN_GNG_22			ACH	0.72	ACH		
(129182, 82646, 5798)	129182	82646	5798	79521835619945551	720575940621106977	L		AN	AN_AVLP_30			GABA	0.78	GABA		
(129003, 82447, 5798)	129003	82447	5798	79521766900482728	720575940611871919	L		SA	SA_DLV	DLV		ACH	0.67	ACH		
(130390, 81221, 5798)	130390	81221	5798	79592066925186088	720575940605916640	L		AN	AN_multi_101			ACH	0.7	ACH		
(129398, 77883, 5798)	129398	77883	5798	79521492022562897	720575940611875503	L		SA	SA_DMT_DMetaN_7	DMT		GABA	0.47	unk		
(126291, 79904, 5798)	126291	79904	5798	79310523228973940	720575940627606394	L		AN	AN_GNG_172			ACH	0.82	ACH		
(126712, 80047, 5798)	126712	80047	5798	79310523228969015	720575940612281086	L		AN	AN_GNG_175			ACH	0.74	ACH		
(129702, 82105, 5798)	129702	82105	5798	79521766900481391	720575940606525058	L		AN	AN_AVLP_28			ACH	0.86	ACH		
(127839, 82630, 5799)	127839	82630	5799	79381098131582267	720575940612335102	L		AN	AN_AVLP_42			ACH	0.82	ACH		
(130478, 84134, 5798)	130478	84134	5798	79592273083595145	720575940612446866	L		SA	SA_VTV_2	VTV		ACH	0.82	ACH		
(128893, 80993, 5798)	128893	80993	5798	79451329436805026	720575940632223457	L		AN	AN_GNG_179				0	unk		
(130351, 77811, 5798)	130351	77811	5798	79591860766746248	720575940620539563	L		AN	AN_SPS_IPS_5			ACH	0.86	ACH		
(127552, 83088, 5799)	127552	83088	5799	79381098131579172	720575940612713322	L		AN	AN_GNG_188			GABA	0.57	unk		
(125111, 77142, 5798)	125111	77142	5798	79239948326378759	720575940612734570	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(124983, 76920, 5798)	124983	76920	5798	79239948326377341	720575940614990486	L		AN	AN_GNG_6			ACH	0.78	ACH		
(130276, 81054, 5798)	130276	81054	5798	79592066925177046	720575940615394527	L		AN	AN_multi_98			ACH	0.84	ACH		
(130528, 82503, 5798)	130528	82503	5798	79592135644632071	720575940616348480	L		AN	AN_GNG_95				0	unk		
(130803, 81359, 5798)	130803	81359	5798	79592066925177256	720575940617992000	L		AN	AN_GNG_149			ACH	0.92	ACH		
(130429, 76577, 5798)	130429	76577	5798	79591792047277419	720575940639696499	L		AN	GNG_unmatched				0	unk		
(130214, 84108, 5798)	130214	84108	5798	79592273083594019	720575940618388463	L		SA	SA_VTV_10	VTV		ACH	0.61	unk		
(127188, 82658, 5799)	127188	82658	5799	79381098131584152	720575940619145045	L		AN	AN_GNG_VES_4			ACH	0.95	ACH		
(124246, 79302, 5798)	124246	79302	5798	79169717021143184	720575940613403378	L		AN	AN_multi_7			ACH	0.89	ACH		
(131281, 82769, 5798)	131281	82769	5798	79662573108305702	720575940623147802	L		AN	AN_multi_91			ACH	0.91	ACH		
(130004, 83921, 5799)	130004	83921	5799	79592273083595037	720575940612599215	L		AN	AN_LH_AVLP_1			ACH	0.88	ACH	VES002	
(129471, 83267, 5798)	129471	83267	5798	79521835619941328	720575940613598514	L		AN	AN_GNG_197			GABA	0.55	unk		
(130277, 81561, 5798)	130277	81561	5798	79592135644652233	720575940633206831	L		AN	AN_GNG_164			ACH	0.86	ACH		
(127993, 80957, 5798)	127993	80957	5798	79451329436815738	720575940613770182	L		SA	SA_DMT_ADMN_3	DMT		ACH	0.6	unk		
(130709, 83990, 5798)	130709	83990	5798	79592273083598578	720575940614190709	L		SA	SA_VTV_4	VTV		ACH	0.42	unk		
(131282, 75819, 5798)	131282	75819	5798	79662092071972916	720575940636812772	L		AN	AN_GNG_SAD_15			ACH	0.8	ACH		
(130397, 81081, 5798)	130397	81081	5798	79592066925171096	720575940630598671	L		AN	AN_GNG_147			ACH	0.96	ACH		
(130698, 83801, 5798)	130698	83801	5798	79592273083599558	720575940619696133	L		SA	SA_VTV_10	VTV		ACH	0.68	ACH		
(130763, 84099, 5798)	130763	84099	5798	79592273083598662	720575940637562469	L		SA	SA_VTV_3	VTV			0	unk		
(129467, 81951, 5798)	129467	81951	5798	79521766900481327	720575940623685193	L		AN	AN_AVLP_33			ACH	0.94	ACH		
(128280, 83326, 5798)	128280	83326	5798	79451466875755202	720575940617716566	L		AN	AN_GNG_AMMC_2			GABA	0.64	GABA		
(130243, 81212, 5798)	130243	81212	5798	79592066925179562	720575940612018545	L		AN	AN_multi_102			ACH	0.69	ACH		
(129454, 81672, 5798)	129454	81672	5798	79521766900481153	720575940628347471	L		AN	AN_GNG_SAD_32			ACH	0.95	ACH		
(128473, 82901, 5798)	128473	82901	5798	79451466875754937	720575940620122561	L		AN	AN_AMMC_SAD_2				0	unk		
(128824, 81896, 5798)	128824	81896	5798	79451398156293747	720575940625161530	L		AN	AN_AVLP_GNG_21			ACH	0.75	ACH		
(130126, 81323, 5798)	130126	81323	5798	79592066925177240	720575940651689206	L		AN	AN_GNG_AVLP_1			ACH	0.79	ACH		
(130593, 83823, 5798)	130593	83823	5798	79592273083598482	720575940620181825	L		AN	AN_multi_94			GABA	0.72	GABA		
(128897, 82774, 5798)	128897	82774	5798	79451466875761044	720575940632875746	L		AN	AN_AVLP_GNG_6			ACH	0.94	ACH		
(129984, 83110, 5798)	129984	83110	5798	79592204364122184	720575940631295703	L		AN	AN_GNG_190			GABA	0.47	unk		
(129207, 82865, 5798)	129207	82865	5798	79521835619945703	720575940631240403	L		AN	AN_AVLP_54			ACH	0.9	ACH		
(127112, 82603, 5799)	127112	82603	5799	79381098131582086	720575940627734293	L		AN	AN_GNG_VES_4			ACH	0.94	ACH		
(127354, 80974, 5798)	127354	80974	5798	79380960692631767	720575940634523232	L		AN	AN_IPS_LAL_1			ACH	0.94	ACH		
(130920, 83472, 5798)	130920	83472	5798	79592204364121268	720575940615660033	L		AN	AN_GNG_192			GLUT	0.45	unk		
(127337, 82144, 5798)	127337	82144	5798	79381029412123129	720575940619273398	L		AN	AN_GNG_VES_2			GABA	0.75	GABA		
(129635, 83518, 5798)	129635	83518	5798	79521835619943626	720575940626444051	L		AN	AN_GNG_FLA_1			GABA	0.79	GABA		
(128541, 83462, 5798)	128541	83462	5798	79451466875762783	720575940632958253	L		AN	AN_multi_127			ACH	0.94	ACH		
(130235, 81323, 5798)	130235	81323	5798	79592066925179551	720575940606635186	L		AN	AN_GNG_SAD_32			ACH	0.72	ACH		
(130707, 84059, 5798)	130707	84059	5798	79592273083591811	720575940615853851	L		SA	SA_VTV_4	VTV			0	unk		
(129908, 83201, 5798)	129908	83201	5798	79521835619942346	720575940619048315	L		AN	AN_multi_113			ACH	0.94	ACH		
(130187, 83028, 5798)	130187	83028	5798	79592204364122169	720575940634557594	L		AN	AN_GNG_116			SER	0.46	unk		
(130351, 83789, 5798)	130351	83789	5798	79592273083597280	720575940615903259	L		SA	SA_VTV_5	VTV		GLUT	0.5	unk		
(131075, 83984, 5798)	131075	83984	5798	79662641827778423	720575940629850105	L		AN	AN_AVLP_23			ACH	0.95	ACH		
(130415, 83718, 5798)	130415	83718	5798	79592273083598409	720575940615929373	L		SA	SA_VTV_5	VTV			0	unk		
(130808, 81264, 5798)	130808	81264	5798	79592066925178319	720575940630513060	L		AN	GNG_unmatched			ACH	0.9	ACH		
(128426, 82423, 5798)	128426	82423	5798	79451398156297802	720575940615689634	L		AN	AN_FLA_VES_2			ACH	0.46	unk		
(130617, 82424, 5798)	130617	82424	5798	79592135644641739	720575940612195495	L		AN	AN_GNG_SAD_1			ACH	0.74	ACH		
(130958, 79822, 5798)	130958	79822	5798	79591998205687850	720575940631372088	L		AN	AN_IPS_GNG_7			ACH	0.96	ACH		
(129921, 82278, 5798)	129921	82278	5798	79521766900473450	720575940616169787	L		AN	AN_AVLP_51			ACH	0.75	ACH		
(130377, 82229, 5798)	130377	82229	5798	79592135644652901	720575940617641301	L		AN	AN_GNG_165			ACH	0.69	ACH		
(124703, 79533, 5798)	124703	79533	5798	79169785740605114	720575940627377285	L		AN	AN_GNG_IPS_11			ACH	0.83	ACH		
(131124, 75247, 5798)	131124	75247	5798	79662023352488662	720575940621406090	L		AN	AN_GNG_102				0	unk		
(131248, 79539, 5798)	131248	79539	5798	79662366949899934	720575940621201092	L		AN	GNG_unmatched				0	unk		
(130416, 82861, 5798)	130416	82861	5798	79592204364123151	720575940620079440	L		AN	AN_GNG_SAD_12			ACH	0.93	ACH		
(126839, 80181, 5798)	126839	80181	5798	79310523228977468	720575940654222241	L		AN	AN_IPS_LAL_1			ACH	0.85	ACH		
(130339, 82166, 5798)	130339	82166	5798	79592135644647932	720575940618083749	L		AN	AN_GNG_165			ACH	0.88	ACH		
(130029, 82108, 5798)	130029	82108	5798	79592135644644058	720575940605811657	L		AN	AN_GNG_166			ACH	0.8	ACH		
(129878, 77316, 5798)	129878	77316	5798	79521423303093565	720575940608969938	L		AN	AN_GNG_IPS_unmatched			GABA	0.46	unk		
(124480, 79375, 5798)	124480	79375	5798	79169717021141187	720575940622002086	L		AN	AN_GNG_4			ACH	0.77	ACH		
(130637, 81889, 5798)	130637	81889	5798	79592135644638855	720575940621970445	L		AN	AN_AVLP_50			ACH	0.86	ACH		
(131296, 82855, 5798)	131296	82855	5798	79662573108310416	720575940628975107	L		AN	AN_GNG_FLA_6			GABA	0.51	unk		
(129396, 83341, 5798)	129396	83341	5798	79521835619949676	720575940608958788	L		AN	AN_AVLP_GNG_14			GABA	0.61	unk		
(124670, 80086, 5798)	124670	80086	5798	79169785740604558	720575940626044418	L		AN	AN_multi_9			ACH	0.86	ACH		
(130643, 82685, 5798)	130643	82685	5798	79592204364129624	720575940633185676	L		AN	AN_GNG_134			ACH	0.76	ACH		
(126785, 72990, 5780)	126785	72990	5780	79310042192432870	720575940633157919	L		AN	AN_multi_12			GLUT	0.72	GLUT		
(130191, 76939, 5798)	130191	76939	5798	79591792047273467	720575940613527021	L		AN	AN_GNG_IPS_9				0	unk		
(130296, 82842, 5798)	130296	82842	5798	79592204364127553	720575940616195467	L		AN	AN_GNG_94			ACH	0.74	ACH		
(125896, 79799, 5798)	125896	79799	5798	79310523228979363	720575940628361554	L		AN	AN_GNG_IPS_4			ACH	0.96	ACH		
(127085, 82929, 5799)	127085	82929	5799	79381098131579113	720575940659379073	L		AN	AN_GNG_SAD_33			GABA	0.62	GABA		
(130148, 83867, 5798)	130148	83867	5798	79592273083588397	720575940627699599	L		AN	AN_multi_119			ACH	0.85	ACH		
